postionType,postionLocation,positionName,postionNumber,postionLink,publishDate
2017-11-23,position_detail.php?id=28903&keywords=&tid=0&lid=0,深圳,2,技术类,TEG03-高级后台开发工程师(深圳）
2017-11-23,position_detail.php?id=30659&keywords=&tid=0&lid=0,深圳,1,产品/项目类,23516-移动游戏项目管理
2017-11-23,position_detail.php?id=31387&keywords=&tid=0&lid=0,北京,1,产品/项目类,SA-腾讯社交广告商业化产品经理（北京）
2017-11-23,position_detail.php?id=31717&keywords=&tid=0&lid=0,深圳,1,技术类,SNG02-视频云解决方案架构师（深圳）
2017-11-23,position_detail.php?id=31718&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SNG03-推荐算法产品经理（深圳）
2017-11-23,position_detail.php?id=32465&keywords=&tid=0&lid=0,深圳,1,技术类,SNG02-云视频点播Golang开发工程师（深圳）
2017-11-23,position_detail.php?id=32461&keywords=&tid=0&lid=0,深圳,1,技术类,SNG02-流媒体终端开发工程师（深圳）
2017-11-23,position_detail.php?id=28674&keywords=&tid=0&lid=0,北京,1,市场类,16811-授权拓展经理
2017-11-23,position_detail.php?id=32509&keywords=&tid=0&lid=0,深圳,1,设计类,24012-知名IP动画导演
2017-11-23,position_detail.php?id=31754&keywords=&tid=0&lid=0,深圳,2,技术类,22989-腾讯云初创公司扶持架构师（深圳/北京）
2017-11-23,position_detail.php?id=31750&keywords=&tid=0&lid=0,深圳,1,产品/项目类,21482-移动电竞高级赛事运营经理(深圳)
2017-11-23,position_detail.php?id=32440&keywords=&tid=0&lid=0,深圳,1,产品/项目类,MIG09-阅读内容运营经理
2017-11-23,position_detail.php?id=33167&keywords=&tid=0&lid=0,成都,1,产品/项目类,15575-《王者荣耀》周边产品开发经理（成都）
2017-11-23,position_detail.php?id=32445&keywords=&tid=0&lid=0,深圳,1,设计类,24491-王者荣耀全球版 高级游戏交互设计师（深圳）
2017-11-23,position_detail.php?id=31767&keywords=&tid=0&lid=0,北京,1,产品/项目类,18425-金融云解决方案高级经理（北京）
2017-11-22,position_detail.php?id=30783&keywords=&tid=0&lid=0,深圳,1,产品/项目类,MIG09-大资讯高级产品运营经理
2017-11-22,position_detail.php?id=34482&keywords=&tid=0&lid=0,深圳,1,技术类,MIG06-应用宝算法工程师（深圳）
2017-11-22,position_detail.php?id=33262&keywords=&tid=0&lid=0,深圳,1,技术类,15571-游戏高级开发工程师（深圳）
2017-11-22,position_detail.php?id=34446&keywords=&tid=0&lid=0,广州,1,职能类,22990-数字广东公司-会计（广州）
2017-11-22,position_detail.php?id=34479&keywords=&tid=0&lid=0,上海,1,产品/项目类,24548-IP增值项目经理
2017-11-22,position_detail.php?id=34475&keywords=&tid=0&lid=0,深圳,1,技术类,MIG15-嵌入式终端开发工程师（深圳）
2017-11-22,position_detail.php?id=34473&keywords=&tid=0&lid=0,北京,1,职能类,S2-投资公司管理经理（北京）
2017-11-22,position_detail.php?id=34470&keywords=&tid=0&lid=0,深圳,1,技术类,18796-游戏平台高级测试开发工程师(深圳)
2017-11-22,position_detail.php?id=34466&keywords=&tid=0&lid=0,深圳,3,设计类,15571-3D场景设计师（深圳）
2017-11-22,position_detail.php?id=34465&keywords=&tid=0&lid=0,深圳,2,设计类,15571-资深3D角色设计师（深圳）
2017-11-22,position_detail.php?id=34462&keywords=&tid=0&lid=0,成都,1,设计类,15575-《王者荣耀》高级特效设计师（成都）
2017-11-22,position_detail.php?id=34460&keywords=&tid=0&lid=0,上海,1,产品/项目类,15614-MMORPG战斗系统策划师（上海）
2017-11-22,position_detail.php?id=34458&keywords=&tid=0&lid=0,上海,1,产品/项目类,15614-MMORPG系统策划师（上海）
2017-11-22,position_detail.php?id=34456&keywords=&tid=0&lid=0,长沙,1,市场类,22990-腾讯云客户经理（长沙/贵阳）
2017-11-22,position_detail.php?id=34454&keywords=&tid=0&lid=0,深圳,1,技术类,TEG05-数据运营工程师（深圳）
2017-11-22,position_detail.php?id=34452&keywords=&tid=0&lid=0,上海,1,技术类,21229-游戏客户端开发工程师（上海）
2017-11-22,position_detail.php?id=34450&keywords=&tid=0&lid=0,上海,1,技术类,HY2-游戏运维工程师（上海）
2017-11-22,position_detail.php?id=34448&keywords=&tid=0&lid=0,深圳,4,市场类,SNG11-腾讯云安全营销策划管理（深圳）
2017-11-22,position_detail.php?id=34444&keywords=&tid=0&lid=0,深圳,1,技术类,TEG10-java后台开发工程师（深圳）
2017-11-22,position_detail.php?id=27383&keywords=&tid=0&lid=0,北京,2,技术类,OMG236-腾讯视频自然语言处理高级工程师（北京）
2017-11-22,position_detail.php?id=31228&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18402-移动游戏数据分析和挖掘
2017-11-22,position_detail.php?id=25957&keywords=&tid=0&lid=0,北京,1,市场类,17759-腾讯视频VIP运营商渠道BD经理（北京）
2017-11-22,position_detail.php?id=34317&keywords=&tid=0&lid=0,北京,1,市场类,SA-腾讯社交广告SMB电商行业经理（北京）
2017-11-22,position_detail.php?id=34467&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SNG16-全民K歌海外版产品策划（深圳）
2017-11-22,position_detail.php?id=34443&keywords=&tid=0&lid=0,北京,1,市场类,16811-IP用户运营
2017-11-22,position_detail.php?id=34441&keywords=&tid=0&lid=0,深圳,1,技术类,MIG09-语音合成算法研究员
2017-11-22,position_detail.php?id=34436&keywords=&tid=0&lid=0,深圳,2,技术类,18428-财付通清算业务开发工程师（深圳）
2017-11-22,position_detail.php?id=29548&keywords=&tid=0&lid=0,深圳,1,市场类,23295-互娱王者荣耀内容经理
2017-11-22,position_detail.php?id=32410&keywords=&tid=0&lid=0,深圳,1,职能类,MIG-组织发展经理（深圳）
2017-11-22,position_detail.php?id=33131&keywords=&tid=0&lid=0,深圳,1,产品/项目类,HY1-平台产品经理(深圳)
2017-11-22,position_detail.php?id=33107&keywords=&tid=0&lid=0,深圳,2,技术类,18435-风险数据挖掘高级工程师（深圳）
2017-11-22,position_detail.php?id=32422&keywords=&tid=0&lid=0,上海,1,技术类,21062-Unity前台开发工程师（上海）
2017-11-22,position_detail.php?id=32416&keywords=&tid=0&lid=0,北京,2,市场类,17759-商业分析师
2017-11-22,position_detail.php?id=29541&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SNG04-QQ看点数据分析高级产品经理（深圳）
2017-11-22,position_detail.php?id=31190&keywords=&tid=0&lid=0,深圳,1,职能类,13654-腾讯研究院高级金融研究员
2017-11-22,position_detail.php?id=30623&keywords=&tid=0&lid=0,深圳,1,产品/项目类,TEG15-高级计费产品经理（深圳）
2017-11-22,position_detail.php?id=28870&keywords=&tid=0&lid=0,北京,3,内容编辑类,22088-腾讯体育BD及赛事专员(北京）
2017-11-22,position_detail.php?id=31219&keywords=&tid=0&lid=0,北京,3,,SA-腾讯社交广告公关传播经理（北京）
2017-11-22,position_detail.php?id=31222&keywords=&tid=0&lid=0,上海,2,技术类,20503-视频监控人体算法研发工程师（上海）
2017-11-22,position_detail.php?id=30624&keywords=&tid=0&lid=0,上海,1,设计类,15614-UI视觉设计师(上海）
2017-11-22,position_detail.php?id=29501&keywords=&tid=0&lid=0,上海,1,技术类,21761-测试经理（上海）
2017-11-22,position_detail.php?id=31216&keywords=&tid=0&lid=0,深圳,1,产品/项目类,22989-腾讯云政务民生产品组leader（深圳）
2017-11-22,position_detail.php?id=32367&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18302-剑灵IP手游本地化主数值（深圳）
2017-11-22,position_detail.php?id=32369&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18302-剑灵IP手游本地化关卡策划（深圳）
2017-11-22,position_detail.php?id=32361&keywords=&tid=0&lid=0,深圳,1,设计类,18302-剑灵IP手游本地化资深3D动画设计师（深圳）
